time,quad x,quad y,quad z,kftag x,kftag y,kftag z,tag x,tag y,tag z,true tag x,true tag y
6.413459777832031e-05,5.00789213180542,5.019767761230469,24.43498420715332,-1.481411872145338,-5.438481720321843,-29.35189810288303,-1.4977140046959976,-5.6177730530624235,-29.35189810288303,-0.6029653549194336,-4.759359836578369
0.10033988952636719,5.005422115325928,5.020262241363525,24.43537139892578,-1.4781255913661646,-5.454468563517067,-29.1463447259964,-1.4761355564625074,-5.584215305576981,-29.1463447259964,-0.6008930206298828,-4.759840965270996
0.2002556324005127,5.003462791442871,5.020540714263916,24.435665130615234,-1.464902393339137,-5.468661274973491,-29.145072879146625,-1.4778787146474563,-5.585572207188234,-29.145072879146625,-0.5976905822753906,-4.760344982147217
0.3004586696624756,5.001401901245117,5.020749568939209,24.435914993286133,-1.4602421184251855,-5.475317964042141,-29.25222079517539,-1.4821300082652904,-5.604902388131519,-29.25222079517539,-0.5973076820373535,-4.760390281677246
0.40026235580444336,4.999398708343506,5.020871639251709,24.4361515045166,-1.4490596600718098,-5.47206128198898,-28.740911054636125,-1.453512191091792,-5.495805088979974,-28.740911054636125,-0.5936264991760254,-4.76067590713501
0.5002832412719727,4.9971513748168945,5.020930290222168,24.436357498168945,-1.4421553176279276,-5.4607640224542315,-28.81521153234006,-1.4569644185051178,-5.509029189982532,-28.81521153234006,-0.5925965309143066,-4.760711193084717
0.6003332138061523,4.995006084442139,5.020906925201416,24.436567306518555,-1.4336111990542655,-5.467405414480609,-29.29026732331873,-1.4591512516225364,-5.597380879853267,-29.29026732331873,-0.5903630256652832,-4.760734558105469
0.7002975940704346,4.9931793212890625,5.020806789398193,24.436796188354492,-1.430835569057863,-5.479363465250682,-28.847528497020843,-1.4102351754838391,-5.51364580188875,-28.847528497020843,-0.5881271362304688,-4.760662078857422
0.8003325462341309,4.991106986999512,5.020538330078125,24.437068939208984,-1.4080092949794387,-5.464418896067115,-29.205084151640772,-1.432069021323465,-5.603442602824423,-29.205084151640772,-0.5862340927124023,-4.7604827880859375
0.9002861976623535,4.9891252517700195,5.020059585571289,24.437360763549805,-1.4039986796708233,-5.479352317486702,-28.489893648569982,-1.372369298047353,-5.470716274320923,-28.489893648569982,-0.5833530426025391,-4.75986385345459
1.0002644062042236,4.987624168395996,5.019520282745361,24.43756866455078,-1.3753618094843838,-5.453051169984902,-29.45900973271671,-1.3989510236442362,-5.652604142970011,-29.45900973271671,-0.5818519592285156,-4.759324550628662
1.1002490520477295,4.9865193367004395,5.018988132476807,24.43771743774414,-1.3700120504563342,-5.481094925191771,-29.273062402824785,-1.3949239477939415,-5.619178711129215,-29.273062402824785,-0.580747127532959,-4.758792400360107
1.2004482746124268,4.985111713409424,5.018040657043457,24.43793487548828,-1.3611366516791215,-5.514697862204403,-29.290692626448962,-1.3927848078467404,-5.628609664806064,-29.290692626448962,-0.5800857543945312,-4.758395671844482
1.300337314605713,4.984100818634033,5.017038345336914,24.438121795654297,-1.357816653685078,-5.530674960824048,-29.2902427197397,-1.393510853245031,-5.626403028975121,-29.2902427197397,-0.5787925720214844,-4.75734806060791
1.4005191326141357,4.98321008682251,5.015719890594482,24.43833351135254,-1.3556144974956192,-5.564123278793787,-29.50340018838541,-1.4007990038417955,-5.663708730373688,-29.50340018838541,-0.5778632164001465,-4.756226062774658
1.5002715587615967,4.982727527618408,5.014674186706543,24.43848419189453,-1.3561209705347883,-5.581436820407147,-29.482099706170928,-1.4002242627964598,-5.659257374395554,-29.482099706170928,-0.5772194862365723,-4.755091190338135
1.6003916263580322,4.982218265533447,5.013040542602539,24.438695907592773,-1.3582059919204483,-5.6085976556327575,-29.49622003947769,-1.4012410025508828,-5.662680041648498,-29.49622003947769,-0.5764460563659668,-4.75284481048584
1.700287103652954,4.981919765472412,5.011404991149902,24.438825607299805,-1.3597635157170604,-5.619846767293325,-29.475637718174944,-1.4018969049156622,-5.6563869851145085,-29.475637718174944,-0.5761475563049316,-4.751209259033203
1.8002963066101074,4.981778621673584,5.00981330871582,24.43885612487793,-1.363542762500495,-5.635409966285028,-29.481007676284513,-1.4013152134710136,-5.656524890569495,-29.481007676284513,-0.576042652130127,-4.750186443328857
1.90024995803833,4.981752395629883,5.007761001586914,24.438800811767578,-1.3655437430284685,-5.641523653212592,-29.124975824238668,-1.3868401749560464,-5.579242670039713,-29.124975824238668,-0.5759801864624023,-4.747565269470215
2.00032901763916,4.981841087341309,5.006102085113525,24.438688278198242,-1.3590964541905461,-5.599682192337393,-29.396835295586964,-1.3950613803138223,-5.596315820298647,-29.396835295586964,-0.5759921073913574,-4.747180938720703
2.100297451019287,4.982054233551025,5.004245281219482,24.43856430053711,-1.361364333511821,-5.597627421825593,-29.28887812101503,-1.3934185469652052,-5.577589196670819,-29.28887812101503,-0.5761570930480957,-4.745006561279297
2.2003045082092285,4.982391357421875,5.002335071563721,24.438434600830078,-1.365285948746634,-5.587042793666859,-29.29688158807376,-1.3946385551937137,-5.578733082210982,-29.29688158807376,-0.5763764381408691,-4.743396908044815
2.300320625305176,4.982848167419434,5.000341892242432,24.438234329223633,-1.367536838540132,-5.583073182150367,-29.03201911582606,-1.3861041727254033,-5.515044749118224,-29.03201911582606,-0.5884265899658203,-4.7425821125507355
2.400282621383667,4.983362674713135,4.998433589935303,24.438034057617188,-1.365501946596849,-5.5393285193207475,-28.78261936813992,-1.3713437901854224,-5.454233604250425,-28.78261936813992,-0.6253952980041504,-4.7455655336380005
