time,quad x,quad y,quad z,kftag x,kftag y,kftag z,tag x,tag y,tag z,true tag x,true tag y
5.626678466796875e-05,4.995736598968506,5.012186050415039,24.405231475830078,-5.889028296140109,-13.423557951130752,-29.018446480613097,-5.821653981334965,-13.307528899968382,-29.120092378515835,-3.222936749458313,-11.606884956359863
0.1004641056060791,4.993879318237305,5.013040542602539,24.405292510986328,-5.8280301450313345,-13.340377511494594,-29.518003814902745,-5.900818757776475,-13.463195770926038,-29.518003814902745,-3.221079468727112,-11.607739448547363
0.20031499862670898,4.992155075073242,5.013733863830566,24.405353546142578,-5.851013559887096,-13.39051533130052,-29.518003814902745,-5.901308515427396,-13.462684684256134,-29.515760174476302,-3.2193552255630493,-11.60843276977539
0.30030274391174316,4.990445613861084,5.014341831207275,24.405412673950195,-5.878482703755864,-13.448016654052577,-29.515760174476302,-5.891364099062234,-13.441390645197789,-29.469891739200555,-3.217645764350891,-11.6090407371521
0.40053272247314453,4.988650798797607,5.014913082122803,24.405475616455078,-5.8810590587784555,-13.447614719976004,-29.368090243008645,-5.86985737596556,-13.392583040376621,-29.368090243008645,-3.2158509492874146,-11.609611988067627
0.5004720687866211,4.98658561706543,5.015495300292969,24.405548095703125,-5.876216360720788,-13.434793651749171,-29.62329563656774,-5.794802153472376,-13.295469714326623,-29.16615352799806,-3.213785767555237,-11.610194206237793
0.600412130355835,4.984825611114502,5.015902042388916,24.405668258666992,-5.851334495695237,-13.411683505267918,-29.16615352799806,-5.834838706517877,-13.39102853348236,-29.365741572166776,-3.212025761604309,-11.61060094833374
0.7002899646759033,4.98360538482666,5.016124248504639,24.405757904052734,-5.825827162781973,-13.380320997328399,-29.365741572166776,-5.927893098911072,-13.574930502329387,-29.751162699386928,-3.2108055353164673,-11.610823154449463
0.8002903461456299,4.981871604919434,5.016346454620361,24.405893325805664,-5.860887543231228,-13.461146497459177,-29.751162699386928,-5.844096066888578,-13.430584322731843,-29.43461448957688,-3.2090717554092407,-11.611045360565186
0.9002773761749268,4.980160713195801,5.016459941864014,24.406030654907227,-5.870430579865341,-13.49177830533767,-29.43461448957688,-5.8417617744886465,-13.431668637001836,-29.443042148387,-3.207360863685608,-11.611158847808838
1.0002923011779785,4.978470325469971,5.016506195068359,24.406234741210938,-5.851934162113425,-13.46678649210665,-29.34558298584064,-5.81882796098172,-13.380708994934553,-29.34558298584064,-3.205670475959778,-11.611205101013184
1.1003766059875488,4.977141380310059,5.016507625579834,24.406362533569336,-5.788672998839218,-13.32463680055653,-28.914603825547378,-5.733916739637467,-13.16544767128601,-28.914603825547378,-3.2043415307998657,-11.611206531524658
1.2003321647644043,4.9762067794799805,5.016491413116455,24.406461715698242,-5.761853835793819,-13.258335799020028,-29.605982238657777,-5.7775752563115095,-13.341710192604504,-29.333670652709188,-3.2034069299697876,-11.61119031906128
1.3003933429718018,4.974965572357178,5.016453742980957,24.40658187866211,-5.781323595656459,-13.331218134010483,-29.333670652709188,-5.804217178615216,-13.404997063715385,-29.478888444865134,-3.202165722846985,-11.611152648925781
1.4003748893737793,4.97420072555542,5.016407489776611,24.40663719177246,-5.784811297455415,-13.373217803392228,-29.440436760440782,-5.797702772322521,-13.388879618316693,-29.440436760440782,-3.201400876045227,-11.611106395721436
1.5002806186676025,4.973613262176514,5.016355037689209,24.40669059753418,-5.785569273207958,-13.378813452232542,-29.440436760440782,-5.797380284713479,-13.388492019063246,-29.440166714627747,-3.200813412666321,-11.611053943634033
1.6002538204193115,4.972983360290527,5.016246318817139,24.406763076782227,-5.786969428685876,-13.385103161164926,-29.440166714627747,-5.793344831803714,-13.381419754305103,-29.424633676775592,-3.2001835107803345,-11.610945224761963
1.7002766132354736,4.972652912139893,5.016124248504639,24.406763076782227,-5.7867309713334105,-13.385110081712513,-28.95269543004877,-5.703184634724617,-13.174590255063798,-28.95269543004877,-3.1998530626296997,-11.610823154449463
1.8002879619598389,4.972477912902832,5.015961647033691,24.406707763671875,-5.727615805096585,-13.248645380385888,-28.910801255991,-5.69328551035963,-13.155053391454295,-28.910801255991,-3.199678063392639,-11.610660552978516
1.9002809524536133,4.972475528717041,5.015797138214111,24.406620025634766,-5.694239130192509,-13.17219282177662,-28.903564385530345,-5.729046195781537,-13.241909218797534,-29.085707416315103,-3.199675679206848,-11.610496044158936
2.000293254852295,4.972617149353027,5.015552997589111,24.4064884185791,-5.693254498378304,-13.170854660747244,-29.085707416315103,-5.7140118630970145,-13.223363222025043,-29.019943137545,-3.1998172998428345,-11.610251903533936
2.100277900695801,4.972909450531006,5.015234470367432,24.406301498413086,-5.698412989070175,-13.18885769142705,-29.019943137545,-5.780071920147998,-13.39279461169848,-29.360293962016925,-3.200109601020813,-11.609933376312256
2.2002925872802734,4.973514080047607,5.014714241027832,24.406005859375,-5.723631650468188,-13.259560449703697,-29.44672498420119,-5.797761148888338,-13.433023391886614,-29.44672498420119,-3.2007142305374146,-11.609413146972656
2.3003089427948,4.974112510681152,5.014271259307861,24.405744552612305,-5.7656790012339245,-13.365430181277725,-29.47936777737517,-5.804735269059966,-13.446509955129239,-29.47936777737517,-3.2013126611709595,-11.608970165252686
2.4003548622131348,4.974848747253418,5.013777732849121,24.405458450317383,-5.790644568411559,-13.424313965057408,-29.369108326941628,-6.333568598498463,-14.66397167062074,-32.12716734735285,-3.202048897743225,-11.608476638793945
2.500392198562622,4.975819110870361,5.013164043426514,24.405126571655273,-6.000177648346481,-13.906363959519043,-32.12716734735285,-5.730346302489687,-13.264979952843738,-29.088918552207403,-3.2030192613601685,-11.607862949371338
