time,quad x,quad y,quad z,kftag x,kftag y,kftag z,tag x,tag y,tag z
5.1975250244140625e-05,5.012871742248535,5.001662254333496,14.475875854492188,-0.03177268507695531,0.05944040692953934,-17.064751627306194,-0.029905985646816013,0.05320437899928887,-17.064751627306194
0.1002652645111084,5.014071941375732,5.002208232879639,14.47527027130127,-0.039309475713484615,0.05281037274990256,-17.12374862133774,-0.042204795925258054,0.046286140279106824,-17.12374862133774
0.20022964477539062,5.014999866485596,5.002691745758057,14.474745750427246,-0.04578528378171414,0.0458998369018277,-17.00384156903632,-0.04401276869189541,0.040906730653762935,-17.00384156903632
0.30025362968444824,5.016316890716553,5.003511905670166,14.473881721496582,-0.051399122504780945,0.04392811013571063,-16.95732103067122,-0.04814804217575919,0.0498828308649335,-16.95732103067122
0.40027904510498047,5.01718282699585,5.004174709320068,14.473197937011719,-0.05515646904843165,0.044140363764335215,-16.82011713546359,-0.05089942330963737,0.045451280088334656,-16.82011713546359
0.5002665519714355,5.018040180206299,5.005012035369873,14.472331047058105,-0.05804102229040948,0.04171111419673348,-16.91610256114476,-0.05191004266466681,0.04241831497125048,-16.91610256114476
0.6002578735351562,5.018611431121826,5.005799293518066,14.471540451049805,-0.06025162732492704,0.04028757526286975,-17.095654266052925,-0.05714710970061887,0.04648688323832317,-17.095654266052925
0.7002460956573486,5.01902437210083,5.006724834442139,14.470698356628418,-0.06367357325908514,0.04272378354822027,-17.140668889069364,-0.06169709924762934,0.05076877534529256,-17.140668889069364
0.8002700805664062,5.019198894500732,5.007579326629639,14.470014572143555,-0.06907046505153011,0.0453073109001632,-16.972093038090215,-0.06981965313960625,0.051543282103157395,-16.972093038090215
0.9002437591552734,5.019192218780518,5.008952617645264,14.469069480895996,-0.07455937313896784,0.04720534849519996,-16.974367706376718,-0.07079709684057534,0.05019927792035528,-16.974367706376718
1.000227928161621,5.019016742706299,5.0101318359375,14.468358993530273,-0.07532590754468331,0.04743417588531998,-17.030201973296023,-0.05257756451761164,0.052930522667186786,-17.030201973296023
1.1002283096313477,5.018770217895508,5.011236667633057,14.46776294708252,-0.06582211705565238,0.049605341334672,-17.023911905699965,-0.04751169015979606,0.05078779997935445,-17.023911905699965
1.200249195098877,5.018309116363525,5.012896537780762,14.466894149780273,-0.058401246856817406,0.04906137727101594,-16.872950881611157,-0.04894143550090657,0.04727754820778518,-16.872950881611157
1.3002605438232422,5.017786026000977,5.014445781707764,14.46611499786377,-0.054471911031237955,0.043534041399915444,-16.96897231500935,-0.04651566140796248,0.025376734908165943,-16.96897231500935
1.4002265930175781,5.017260551452637,5.015742301940918,14.465456008911133,-0.050381623982042975,0.03101788409923877,-17.052142344900155,-0.047933945263015865,0.02453851831179854,-17.052142344900155
1.500246286392212,5.016478061676025,5.017377853393555,14.464609146118164,-0.04877761329511116,0.02438917603133278,-17.052840490818358,-0.047509364397433806,0.025857274572671507,-17.052840490818358
1.6002216339111328,5.01539945602417,5.019224643707275,14.463607788085938,-0.048073303343904514,0.021515583118006835,-16.993303184505614,-0.04861454449879066,0.023402756615777953,-16.993303184505614
1.7001512050628662,5.014341354370117,5.020699501037598,14.46275806427002,-0.048640836956505576,0.015336079777191782,-16.83280250190002,-0.050427655349887246,0.012412063884651658,-16.83280250190002
1.8002736568450928,5.013147830963135,5.022053241729736,14.461915969848633,-0.04919212321433062,0.005104945058149155,-16.974110717214042,-0.04996064793520105,-0.0008746968337041139,-16.974110717214042
1.900280475616455,5.011837959289551,5.023287296295166,14.461073875427246,-0.04924597462619624,-0.0026611868451922273,-17.029681428006086,-0.047796026037319805,0.0009488930946508489,-17.029681428006086
2.000258207321167,5.010436058044434,5.024397850036621,14.460214614868164,-0.04792710311067725,-0.005662042838487201,-17.060369182761058,-0.047420100829599576,-0.00024554941465293467,-17.060369182761058
2.1002492904663086,5.008659362792969,5.025589466094971,14.459137916564941,-0.04670669158094342,-0.00757076148357739,-17.036978906508676,-0.047251837725755585,-0.0014895988748238054,-17.036978906508676
2.200240135192871,5.006933212280273,5.026578426361084,14.45806884765625,-0.04446766076161431,-0.009778818513097037,-17.135583186602904,-0.03568387909783777,-0.007842218675619073,-17.135583186602904
2.300201177597046,5.00491189956665,5.027557373046875,14.456765174865723,-0.03625221270684529,-0.012761076129026862,-16.961682492108565,-0.026683435464520677,-0.011495719378747715,-16.961682492108565
2.4002387523651123,5.00296688079834,5.028326511383057,14.45547103881836,-0.02577266758329505,-0.021145973780670697,-17.089307260914843,-0.021740691804395418,-0.023757221452678223,-17.089307260914843
2.5002548694610596,5.0007805824279785,5.028986930847168,14.454010963439941,-0.020413764157317212,-0.028240503934028365,-17.058494048318515,-0.021964909169446933,-0.026125004115105988,-17.058494048318515
2.6002345085144043,4.999128818511963,5.029329776763916,14.452926635742188,-0.01790079059530004,-0.032741119821307584,-17.049240914144825,-0.02210380091956754,-0.027612648460679345,-17.049240914144825
2.700237989425659,4.996777057647705,5.029613018035889,14.451455116271973,-0.016732256213398335,-0.034265424166146224,-17.04944256701736,-0.0210680359017692,-0.025052796400830246,-17.04944256701736
2.800246000289917,4.994822978973389,5.029706954956055,14.450312614440918,-0.015934270273735025,-0.03361184005556629,-17.00354618775591,-0.015602097933228976,-0.02564157665563105,-17.00354618775591
2.9002084732055664,4.992223739624023,5.029685974121094,14.44893741607666,-0.007495808827783401,-0.0313137880355188,-17.11514882188154,0.004045366431547848,-0.020293376085751547,-17.11514882188154
